package,version
acepack,1.4.1
assertthat,0.2.0
backports,1.1.1
base64enc,0.1-3
BH,1.66.0-1
bindr,0.1.1
bindrcpp,0.2.2
bitops,1.0-6
brew,1.0-6
broom,0.4.4
callr,1.0.0
cellranger,1.1.0
checkmate,1.8.5
cli,1.0.0
cluster,2.0.6
colorspace,1.3-2
compiler,3.4.2
cowplot,0.9.1
crayon,1.3.4
curl,3.0
data.table,1.10.4-3
data.tree,0.7.4
DBI,0.7
dbplyr,1.2.1
devtools,1.13.5
DiagrammeR,0.9.2
dichromat,2.0-0
digest,0.6.15
downloader,0.4
dplyr,0.7.5
evaluate,0.10.1
forcats,0.3.0
foreign,0.8-69
Formula,1.2-2
ggplot2,2.2.1
git2r,0.19.0
glue,1.2.0
graphics,3.4.2
grDevices,3.4.2
grid,3.4.2
gridExtra,2.3
gtable,0.2.0
haven,1.1.1
highr,0.6
Hmisc,4.1-1
hms,0.4.2
htmlTable,1.11.0
htmltools,0.3.6
htmlwidgets,0.9
httr,1.3.1
igraph,1.1.2
influenceR,0.1.0
irlba,2.3.1
jsonlite,1.5
kableExtra,0.6.1
knitr,1.20
labeling,0.3
lattice,0.20-35
latticeExtra,0.6-28
lazyeval,0.2.1
lme4,1.1-14
numDeriv,2016.8-1
lmerTest,3.0-1
lubridate,1.7.4
magrittr,1.5
markdown,0.8
MASS,7.3-47
Matrix,1.2-12
memoise,1.1.0
methods,3.4.2
mgcv,1.8-22
mime,0.5
minqa,1.2.4
mnormt,1.5-5
modelr,0.1.1
munsell,0.4.3
nlme,3.1-131
nloptr,1.0.4
nnet,7.3-12
openssl,0.9.9
parallel,3.4.2
pillar,1.2.2
pkgconfig,2.0.1
plogr,0.2.0
plyr,1.8.4
psych,1.7.8
purrr,0.2.4
R6,2.2.2
RColorBrewer,1.1-2
Rcpp,0.12.17
RcppEigen,0.3.3.3.1
RCurl,1.95-4.8
readr,1.1.1
readxl,1.1.0
rematch,1.0.1
reprex,0.1.2
reshape2,1.4.3
rgexf,0.15.3
rjson,0.2.15
rlang,0.2.1
rmarkdown,1.9
Rook,1.1-1
rpart,4.1-11
rprojroot,1.2
rstudioapi,0.7
rvest,0.3.2
scales,0.5.0
selectr,0.3-1
splines,3.4.2
stats,3.4.2
stringi,1.2.3
stringr,1.3.1
survival,2.41-3
tibble,1.4.2
tidyr,0.8.1
tidyselect,0.2.4
tidyverse,1.2.1
tools,3.4.2
utf8,1.1.3
utils,3.4.2
viridis,0.5.1
viridisLite,0.3.0
visNetwork,2.0.1
whisker,0.3-2
withr,2.1.2
writexl,0.2
XML,3.98-1.9
xml2,1.2.0
yaml,2.1.15
